gender,age,under_30,senior_citizen,number_of_dependents,married,city,zip_code,total_population,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_ charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,internet_service,phone_service,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,customer_status,churn_reason,churn_value
Female,37,No,No,0,Yes,Frazier Park,93225,4498,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Cable,One Year,Yes,Mailed check,65.6,42.39,593.3,0.0,0,381.51,974.81,9,Yes,Yes,No,16,Yes,No,Yes,2,Stayed,Don't know,0
Male,46,No,No,0,No,Glendale,91206,31297,Yes,Yes,No,No,No,No,No,Yes,Yes,Cable,Month-to-Month,No,Mailed check,59.9,10.69,542.4,38.33,10,96.21,610.28,9,Yes,Yes,Yes,10,No,No,No,0,Stayed,Don't know,0
Male,50,No,No,0,No,Costa Mesa,92627,62069,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,73.9,33.65,280.85,0.0,0,134.6,415.45,4,Yes,Yes,No,30,Yes,Offer E,No,0,Churned,Competitor had better devices,1
Male,78,No,Yes,0,Yes,Martinez,94553,46677,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,98.0,27.82,1237.85,0.0,0,361.66,1599.51,13,Yes,Yes,No,4,Yes,Offer D,Yes,1,Churned,Product dissatisfaction,1
Female,75,No,Yes,0,Yes,Camarillo,93010,42853,Yes,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,83.9,7.38,267.4,0.0,0,22.14,289.54,3,Yes,Yes,No,11,Yes,No,Yes,3,Churned,Network reliability,1
Female,23,Yes,No,3,No,Midpines,95345,433,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Credit card (automatic),69.4,16.77,571.45,0.0,0,150.93,722.38,9,Yes,Yes,No,73,Yes,Offer E,No,0,Stayed,Don't know,0
Female,67,No,Yes,0,Yes,Lompoc,93437,6165,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),109.7,9.96,7904.25,0.0,0,707.16,8611.41,71,Yes,Yes,No,14,Yes,Offer A,Yes,1,Stayed,Don't know,0
Male,52,No,No,0,Yes,Napa,94558,63947,Yes,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic,Two Year,Yes,Credit card (automatic),84.65,12.96,5377.8,0.0,20,816.48,6214.28,63,Yes,Yes,Yes,7,No,Offer B,Yes,8,Stayed,Don't know,0
Female,68,No,Yes,0,No,Simi Valley,93063,49027,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Two Year,Yes,Electronic check,48.2,10.53,340.35,0.0,0,73.71,414.06,7,Yes,Yes,No,21,Yes,Offer E,No,0,Stayed,Don't know,0
Female,43,No,No,1,Yes,Sheridan,95681,1219,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,Yes,Mailed check,90.45,28.46,5957.9,0.0,0,1849.9,7807.8,65,Yes,Yes,Yes,14,Yes,No,Yes,3,Stayed,Don't know,0
Male,47,No,No,0,No,Rancho Santa Fe,92091,1072,No,Yes,Yes,No,No,Yes,Yes,No,No,Cable,Two Year,No,Credit card (automatic),45.2,0.0,2460.55,0.0,0,0.0,2460.55,54,Yes,No,No,10,Yes,No,No,0,Stayed,Don't know,0
Female,25,Yes,No,2,Yes,Sunnyvale,94086,64010,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),116.8,16.01,8456.75,0.0,0,1152.72,9609.47,72,Yes,Yes,Yes,59,Yes,No,Yes,2,Stayed,Don't know,0
Female,58,No,No,0,Yes,Antelope,95843,36432,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,68.95,18.65,351.5,0.0,0,93.25,444.75,5,Yes,Yes,No,10,Yes,No,No,0,Stayed,Don't know,0
Female,32,No,No,0,No,La Mesa,91942,24005,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),101.3,2.25,7261.25,0.0,0,162.0,7423.25,72,Yes,Yes,Yes,16,Yes,Offer A,No,0,Stayed,Don't know,0
Female,39,No,No,0,No,Los Olivos,93441,1317,No,Yes,Yes,Yes,Yes,Yes,No,No,No,DSL,Two Year,No,Bank transfer (automatic),45.05,0.0,2560.1,0.0,0,0.0,2560.1,56,Yes,No,No,19,Yes,No,No,0,Stayed,Don't know,0
Female,58,No,No,2,Yes,Woodlake,93286,8870,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),95.75,27.26,6849.4,0.0,0,1935.46,8784.86,71,Yes,Yes,Yes,12,Yes,Offer A,Yes,9,Stayed,Don't know,0
Female,52,No,No,1,Yes,Point Reyes Station,94956,1885,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,DSL,One Year,No,Mailed check,61.25,0.0,1993.2,0.0,0,0.0,1993.2,34,Yes,No,No,20,Yes,No,No,0,Stayed,Don't know,0
Female,72,No,Yes,0,No,San Marcos,92078,6760,Yes,Yes,No,No,No,No,No,No,No,Fiber Optic,One Year,Yes,Electronic check,72.1,7.77,72.1,0.0,0,7.77,79.87,1,Yes,Yes,Yes,22,Yes,Offer E,No,0,Joined,Don't know,0
Male,79,No,Yes,0,No,Daly City,94015,63337,Yes,Yes,Yes,No,Yes,No,No,Yes,No,DSL,One Year,No,Credit card (automatic),62.7,10.67,2791.5,0.0,0,480.15,3271.65,45,Yes,Yes,No,17,Yes,No,No,0,Churned,Limited range of services,1
